Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest
2019-01-02,45.91,47.77,44.36,46.54,,46.11,43799.0,57877.0
2019-01-03,45.8,47.48,45.38,47.09,0.55,46.58,41453.0,56097.0
2019-01-04,46.84,49.21,46.7,47.96,0.87,48.25,39277.0,51577.0
2019-01-07,48.25,49.79,48.14,48.52,0.56,49.01,40919.0,51963.0
2019-01-08,48.82,49.96,48.33,49.78,1.26,49.45,35586.0,52856.0
2019-01-09,50.27,52.57,50.18,52.36,2.58,51.5,48776.0,49057.0
2019-01-10,52.0,52.77,51.37,52.59,0.23,52.05,54231.0,46120.0
2019-01-11,52.23,53.31,51.19,51.59,-1.0,52.03,43411.0,46392.0
2019-01-14,51.98,51.98,50.39,50.51,-1.08,51.03,40750.0,42074.0
2019-01-15,50.9,52.3,50.67,52.11,1.6,51.59,39497.0,38985.0
2019-01-16,51.82,52.51,51.25,52.31,0.2,51.86,46507.0,34700.0
2019-01-17,52.1,52.57,51.0,52.07,-0.24,51.46,24410.0,26614.0
2019-01-18,52.65,54.14,52.6,54.04,1.68,53.48,61194.0,85666.0
2019-01-21,54.0,54.53,53.56,54.17,0.13,54.11,16575.0,90147.0
2019-01-22,53.98,53.98,52.06,53.01,-1.16,52.71,47266.0,90525.0
2019-01-23,52.82,53.63,51.87,52.62,-0.39,52.77,36411.0,88540.0
2019-01-24,52.52,53.46,52.09,53.13,0.51,52.85,45417.0,87913.0
2019-01-25,53.21,53.92,52.91,53.69,0.56,53.4,33941.0,84533.0
2019-01-28,53.55,53.6,51.31,51.99,-1.7,52.02,55658.0,84057.0
2019-01-29,51.87,53.92,51.87,53.31,1.32,53.04,47093.0,80377.0
2019-01-30,53.25,54.93,53.09,54.23,0.92,54.2,50277.0,80844.0
2019-01-31,54.45,55.35,53.62,53.79,-0.44,54.52,42309.0,78210.0
2019-02-01,53.99,55.65,53.38,55.26,1.47,54.57,32865.0,75280.0
2019-02-04,55.32,55.74,53.3,54.56,-0.7,54.39,34066.0,71113.0
2019-02-05,54.65,55.2,53.48,53.66,-0.9,54.09,22988.0,69787.0
2019-02-06,53.69,54.29,52.88,54.01,0.35,53.68,40328.0,69441.0
2019-02-07,53.94,54.21,51.8,52.64,-1.37,52.72,43659.0,73232.0
2019-02-08,52.56,52.99,52.09,52.72,0.08,52.61,28658.0,71022.0
2019-02-11,52.55,52.67,51.24,52.41,-0.31,52.02,50449.0,67484.0
2019-02-12,52.52,54.05,52.39,53.1,0.69,53.37,40716.0,65102.0
2019-02-13,53.54,54.61,53.28,53.9,0.8,54.01,42222.0,63178.0
2019-02-14,54.03,54.69,53.1,54.41,0.51,53.95,46570.0,50964.0
2019-02-15,54.75,55.9,54.25,55.59,1.18,55.21,26292.0,40130.0
2019-02-18,55.8,56.34,55.75,56.06,0.47,56.04,8704.0,32217.0
2019-02-19,56.25,56.6,55.67,56.45,0.0,56.21,46291.0,76100.0
2019-02-20,56.33,57.6,55.78,57.16,0.71,56.68,58394.0,79739.0
2019-02-21,57.25,57.6,56.66,56.96,-0.2,57.03,39981.0,74411.0
2019-02-22,56.93,57.8,56.85,57.26,0.3,57.37,40509.0,75894.0
2019-02-25,57.13,57.51,55.09,55.48,-1.78,56.02,52326.0,76426.0
2019-02-26,55.44,56.07,55.03,55.5,0.02,55.6,30615.0,76716.0
2019-02-27,56.18,57.39,55.61,56.94,1.44,56.82,31165.0,77053.0
2019-02-28,56.97,57.42,56.45,57.22,0.28,57.04,22189.0,74957.0
2019-03-01,57.38,57.84,55.58,55.8,-1.42,56.54,33278.0,72067.0
2019-03-04,55.79,57.0,55.79,56.59,0.79,56.48,24853.0,69958.0
