Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest
2019-01-02,505.5,525.25,492.5,519.0,,510.24,23439.0,51918.0
2019-01-03,506.75,524.75,505.0,513.0,-6.0,514.72,21071.0,53227.0
2019-01-04,517.75,542.0,517.5,529.25,16.25,533.34,28743.0,55450.0
2019-01-07,535.5,548.0,534.5,542.75,13.5,542.95,17928.0,59936.0
2019-01-08,540.25,550.75,535.5,546.75,4.0,544.62,38399.0,59300.0
2019-01-09,551.75,569.5,550.25,561.5,14.75,559.4,29146.0,70278.0
2019-01-10,565.0,575.75,560.75,571.25,9.75,568.26,53705.0,75990.0
2019-01-11,571.25,579.25,564.0,569.25,-2.0,572.29,26229.0,80404.0
2019-01-14,568.25,570.25,554.75,567.25,-2.0,563.0,44829.0,82033.0
2019-01-15,559.25,564.25,556.25,557.25,-10.0,559.78,29894.0,81038.0
2019-01-16,560.25,571.75,559.0,569.0,11.75,565.43,38116.0,85274.0
2019-01-17,568.0,569.25,557.75,563.75,-5.25,563.08,38466.0,92317.0
2019-01-18,568.5,578.0,566.75,574.5,10.75,572.09,32513.0,93203.0
2019-01-21,569.5,578.75,569.5,574.0,-0.5,575.58,15736.0,94177.0
2019-01-22,573.5,575.75,561.25,565.5,-8.5,566.99,42912.0,96024.0
2019-01-23,571.0,578.5,563.0,568.5,3.0,572.21,35890.0,95155.0
2019-01-24,568.25,571.5,562.0,568.0,-0.5,566.71,42123.0,96030.0
2019-01-25,567.5,574.0,564.75,569.0,1.0,569.42,35340.0,97825.0
2019-01-28,569.5,570.25,553.25,556.25,-12.75,558.72,32627.0,93723.0
2019-01-29,554.5,574.75,554.25,571.5,15.25,566.71,61659.0,98237.0
2019-01-30,571.75,581.0,570.25,577.5,6.0,576.07,54728.0,101503.0
2019-01-31,577.0,584.0,567.5,581.0,3.5,577.71,81938.0,94243.0
2019-02-01,569.5,582.25,564.75,576.0,-5.0,570.75,47260.0,100022.0
2019-02-04,580.75,587.75,570.5,577.5,1.5,579.24,43403.0,102728.0
2019-02-05,580.5,583.5,574.5,577.25,-0.25,578.97,37924.0,108443.0
2019-02-06,575.75,582.25,569.5,580.25,3.0,576.59,50143.0,116869.0
2019-02-07,579.5,582.0,567.25,571.75,-8.5,575.13,52832.0,121104.0
2019-02-08,575.75,581.5,570.0,578.0,6.25,576.51,83096.0,124930.0
2019-02-11,577.5,581.75,572.0,573.75,-4.25,576.27,87747.0,132325.0
2019-02-12,576.75,587.5,575.25,580.75,7.0,581.82,83558.0,140374.0
2019-02-13,583.25,594.25,583.25,591.5,10.75,589.15,90716.0,151160.0
2019-02-14,591.0,601.25,588.25,594.5,3.0,596.01,65059.0,152650.0
2019-02-15,601.75,616.0,600.25,612.0,17.5,607.36,79297.0,154135.0
2019-02-18,618.75,619.25,612.0,615.5,3.5,615.29,48203.0,145384.0
2019-02-19,613.75,616.0,606.75,609.0,-6.5,611.28,78824.0,140428.0
2019-02-20,609.5,619.75,605.0,615.5,6.5,611.52,81199.0,153418.0
2019-02-21,616.75,621.25,614.0,619.5,4.0,617.95,60712.0,153873.0
2019-02-22,620.5,624.25,618.0,620.0,0.5,621.19,55617.0,158744.0
2019-02-25,618.75,623.5,602.0,604.5,-15.5,612.65,55299.0,158212.0
2019-02-26,604.5,615.5,601.75,612.75,8.25,608.88,70408.0,161905.0
2019-02-27,614.5,622.0,611.0,620.5,7.75,616.85,57134.0,163994.0
2019-02-28,619.25,623.25,612.75,620.75,0.25,618.71,92076.0,169219.0
2019-03-01,622.0,629.5,605.75,610.5,-10.25,615.4,95716.0,177564.0
2019-03-04,611.5,623.5,611.5,618.25,7.75,617.69,83597.0,176196.0
2019-03-05,615.5,619.0,608.75,615.5,-2.75,614.24,93055.0,180774.0
2019-03-06,615.0,620.0,612.5,615.0,-0.5,615.46,93009.0,178008.0
2019-03-07,616.5,623.25,612.5,615.25,0.25,617.84,90968.0,184914.0
2019-03-08,614.5,614.75,596.0,603.0,-12.25,604.33,126087.0,179528.0
2019-03-11,611.75,616.25,607.75,611.0,8.0,612.4,170084.0,178631.0
2019-03-12,612.0,618.5,606.5,608.0,-3.0,612.57,148331.0,171493.0
2019-03-13,610.5,613.25,607.0,609.25,1.25,610.31,86838.0,154527.0
2019-03-14,611.25,616.0,608.5,610.75,1.5,612.11,65450.0,145416.0
2019-03-15,610.25,615.5,602.0,606.75,-4.0,608.25,69439.0,139888.0
2019-03-18,605.0,610.0,601.25,605.0,-1.75,605.7,93009.0,134549.0
2019-03-19,606.5,616.0,606.0,609.25,4.25,611.22,59208.0,123567.0
2019-03-20,610.5,619.5,607.75,618.5,9.25,614.34,65886.0,124507.0
2019-03-21,617.75,620.25,608.25,610.25,-8.25,614.21,51422.0,124397.0
2019-03-22,609.0,611.0,595.25,597.25,-13.0,602.33,60284.0,122098.0
2019-03-25,602.5,610.5,597.75,606.75,9.5,604.4,38401.0,110009.0
2019-03-26,608.25,613.25,607.5,608.75,2.0,610.3,36267.0,103245.0
2019-03-27,609.75,612.75,604.0,608.25,-0.5,608.77,32962.0,110739.0
2019-03-28,606.0,606.0,594.75,600.0,-8.25,601.52,46873.0,100813.0
2019-03-29,604.25,612.5,602.75,605.25,5.25,606.09,42350.0,99144.0
2019-04-01,605.0,613.25,604.75,606.75,1.5,609.09,43554.0,96217.0
2019-04-02,609.5,616.0,608.75,613.75,7.0,612.63,38795.0,91661.0
2019-04-03,614.5,618.75,608.25,611.0,-2.75,614.2,33532.0,80728.0
2019-04-04,613.0,619.5,608.25,615.75,4.75,613.35,36513.0,75536.0
2019-04-05,614.0,624.5,611.5,618.0,2.25,616.57,25621.0,69491.0
2019-04-08,625.0,629.25,624.0,625.75,7.75,626.87,40526.0,61943.0
2019-04-09,627.5,629.25,620.5,622.25,-3.5,625.04,36928.0,49644.0
2019-04-10,624.5,634.25,622.25,627.0,4.75,626.16,24191.0,27121.0
2019-04-11,634.0,635.75,628.25,632.75,3.0,632.53,80108.0,147663.0
2019-04-12,631.5,637.0,630.75,633.0,0.25,633.47,69531.0,137836.0
2019-04-15,632.25,632.75,626.5,629.75,-3.25,629.77,73346.0,127693.0
2019-04-16,630.5,638.75,627.75,633.5,3.75,632.11,68219.0,110935.0
2019-04-17,637.25,641.75,634.75,637.0,3.5,638.49,60638.0,107733.0
2019-04-18,636.0,638.0,632.25,635.5,-1.5,635.11,54901.0,106428.0
2019-04-22,633.5,651.0,632.5,648.75,,646.31,38353.0,102676.0
2019-04-23,646.25,651.0,645.5,648.25,-0.5,648.09,48061.0,98843.0
2019-04-24,645.75,648.0,641.75,644.25,-4.0,645.62,37371.0,94715.0
2019-04-25,642.25,650.0,639.0,646.25,2.0,646.14,49828.0,96853.0
2019-04-26,641.25,642.0,619.5,623.25,-23.0,628.84,55855.0,103643.0
2019-04-29,625.75,633.5,620.75,630.5,7.25,627.18,55994.0,101888.0
2019-04-30,629.0,642.75,627.0,638.0,7.5,636.21,74905.0,107364.0
2019-05-01,635.25,645.5,632.75,639.0,1.0,639.43,50717.0,85655.0
2019-05-02,643.75,647.0,634.25,637.5,-1.5,640.55,63357.0,67999.0
2019-05-03,640.0,650.0,635.5,649.0,11.5,643.29,32749.0,51755.0
2019-05-06,640.25,647.0,630.75,640.0,-9.0,637.07,16753.0,44954.0
2019-05-07,642.75,643.25,627.5,634.25,-5.75,634.4,22925.0,39518.0
2019-05-08,632.0,641.0,629.5,639.25,5.0,635.11,24341.0,31910.0
2019-05-09,636.0,637.25,627.0,632.25,-7.0,632.49,16498.0,20158.0
2019-05-10,634.25,639.25,631.25,636.25,6.75,635.76,95338.0,164296.0
2019-05-13,636.5,652.0,628.0,639.25,3.0,640.85,98393.0,160743.0
2019-05-14,629.75,641.25,627.25,636.25,-3.0,633.27,113246.0,158234.0
2019-05-15,635.0,650.75,634.0,650.5,14.25,642.22,98488.0,156256.0
2019-05-16,650.5,666.75,649.75,665.25,14.75,658.75,139381.0,152064.0
2019-05-17,665.25,665.25,649.75,657.0,-8.25,657.55,93729.0,141431.0
2019-05-20,654.5,660.0,642.25,651.5,-5.5,650.82,81219.0,135728.0
2019-05-21,646.5,648.25,640.25,645.0,-6.5,644.17,108497.0,133256.0
2019-05-22,643.0,643.0,628.25,632.5,-12.5,635.33,114171.0,124763.0
2019-05-23,634.5,634.5,603.0,607.5,-25.0,617.43,104635.0,115156.0
2019-05-24,607.5,615.75,601.5,604.75,-2.75,608.06,68161.0,112021.0
2019-05-27,614.5,623.25,609.25,621.25,16.5,614.58,15924.0,115859.0
2019-05-28,622.75,626.25,614.75,618.75,-2.5,621.79,38204.0,114687.0
